0.0015499     	 -3.958870e+04 5.138354e+04 8.927170e+04 	 -3.954891e+04 5.138368e+04 8.927199e+04 	 -3.978609e+01 -1.415426e-01 -2.930889e-01 
0.00197972    	 -2.948590e+04 4.709701e+04 8.288070e+04 	 -2.944624e+04 4.709717e+04 8.288100e+04 	 -3.966263e+01 -1.608985e-01 -3.061580e-01 
0.00249549    	 -2.237651e+04 4.408809e+04 7.851008e+04 	 -2.233698e+04 4.408828e+04 7.851040e+04 	 -3.953412e+01 -1.804309e-01 -3.161347e-01 
0.00311429    	 -1.721828e+04 4.191555e+04 7.544942e+04 	 -1.717888e+04 4.191575e+04 7.544975e+04 	 -3.940222e+01 -2.007688e-01 -3.232331e-01 
0.00385657    	 -1.338858e+04 4.036669e+04 7.328935e+04 	 -1.334932e+04 4.036692e+04 7.328968e+04 	 -3.926857e+01 -2.230099e-01 -3.282765e-01 
0.00474757    	 -1.051853e+04 3.922022e+04 7.175939e+04 	 -1.047939e+04 3.922047e+04 7.175972e+04 	 -3.913515e+01 -2.477957e-01 -3.310439e-01 
0.00581659    	 -8.396024e+03 3.837872e+04 7.065911e+04 	 -8.357020e+03 3.837899e+04 7.065944e+04 	 -3.900390e+01 -2.758034e-01 -3.318282e-01 
0.00709941    	 -6.855188e+03 3.771081e+04 6.986297e+04 	 -6.816311e+03 3.771112e+04 6.986330e+04 	 -3.887634e+01 -3.073971e-01 -3.299283e-01 
0.00863879    	 -5.941781e+03 3.715742e+04 6.926382e+04 	 -5.903027e+03 3.715776e+04 6.926415e+04 	 -3.875339e+01 -3.429862e-01 -3.250506e-01 
0.0104849     	 -5.333971e+03 3.669899e+04 6.881839e+04 	 -5.295334e+03 3.669937e+04 6.881871e+04 	 -3.863745e+01 -3.831363e-01 -3.170586e-01 
0.0126986     	 -4.883551e+03 3.630154e+04 6.848040e+04 	 -4.845017e+03 3.630196e+04 6.848070e+04 	 -3.853383e+01 -4.283743e-01 -3.080400e-01 
0.0153526     	 -4.590380e+03 3.597041e+04 6.820262e+04 	 -4.551933e+03 3.597089e+04 6.820292e+04 	 -3.844762e+01 -4.787054e-01 -2.983641e-01 
0.0185392     	 -4.491470e+03 3.570613e+04 6.796377e+04 	 -4.453086e+03 3.570667e+04 6.796406e+04 	 -3.838390e+01 -5.334959e-01 -2.886091e-01 
0.0223581     	 -4.374420e+03 3.547392e+04 6.778969e+04 	 -4.336069e+03 3.547451e+04 6.778996e+04 	 -3.835104e+01 -5.915009e-01 -2.778393e-01 
0.026948      	 -4.325023e+03 3.528837e+04 6.767000e+04 	 -4.286663e+03 3.528902e+04 6.767027e+04 	 -3.836018e+01 -6.519424e-01 -2.654031e-01 
0.0324454     	 -4.337942e+03 3.513658e+04 6.758632e+04 	 -4.299515e+03 3.513729e+04 6.758657e+04 	 -3.842703e+01 -7.136837e-01 -2.522869e-01 
0.0390274     	 -4.296726e+03 3.502643e+04 6.755228e+04 	 -4.258150e+03 3.502721e+04 6.755252e+04 	 -3.857522e+01 -7.764133e-01 -2.382519e-01 
0.0469043     	 -4.293358e+03 3.493315e+04 6.753338e+04 	 -4.254523e+03 3.493399e+04 6.753360e+04 	 -3.883487e+01 -8.403528e-01 -2.231391e-01 
0.0563408     	 -4.274499e+03 3.487844e+04 6.752198e+04 	 -4.235243e+03 3.487935e+04 6.752219e+04 	 -3.925560e+01 -9.056694e-01 -2.084284e-01 
0.0677102     	 -4.260373e+03 3.478269e+04 6.751369e+04 	 -4.220453e+03 3.478366e+04 6.751388e+04 	 -3.991955e+01 -9.722116e-01 -1.996108e-01 
0.0814204     	 -4.222407e+03 3.467092e+04 6.751114e+04 	 -4.181459e+03 3.467196e+04 6.751135e+04 	 -4.094806e+01 -1.038439e+00 -2.098925e-01 
0.0978236     	 -4.125693e+03 3.450125e+04 6.750677e+04 	 -4.083232e+03 3.450235e+04 6.750703e+04 	 -4.246092e+01 -1.099016e+00 -2.636434e-01 
0.117436      	 -4.041058e+03 3.434388e+04 6.745131e+04 	 -3.996445e+03 3.434502e+04 6.745170e+04 	 -4.461286e+01 -1.146736e+00 -3.915174e-01 
0.140661      	 -3.956720e+03 3.415378e+04 6.736406e+04 	 -3.909166e+03 3.415497e+04 6.736466e+04 	 -4.755428e+01 -1.185963e+00 -6.006891e-01 
0.167516      	 -3.928095e+03 3.397044e+04 6.719884e+04 	 -3.876835e+03 3.397166e+04 6.719972e+04 	 -5.126030e+01 -1.225558e+00 -8.818796e-01 
0.197247      	 -3.964983e+03 3.372703e+04 6.695268e+04 	 -3.909459e+03 3.372829e+04 6.695390e+04 	 -5.552372e+01 -1.259762e+00 -1.216059e+00 
0.230695      	 -4.065386e+03 3.348056e+04 6.660362e+04 	 -4.005047e+03 3.348185e+04 6.660522e+04 	 -6.033880e+01 -1.288008e+00 -1.595188e+00 
0.264143      	 -4.176039e+03 3.324300e+04 6.626661e+04 	 -4.110788e+03 3.324430e+04 6.626859e+04 	 -6.525103e+01 -1.302055e+00 -1.983636e+00 
