#0.000120005   	(-1.369937e+07 3.698671e+06 5.529293e+06)	(-1.369932e+07 3.698671e+06 5.529293e+06)	(-5.513266e+01 -5.828300e-02 6.738836e-02)
#0.000264017   	(-1.061168e+06 2.968662e+05 4.267736e+05)	(-1.061099e+06 2.968663e+05 4.267737e+05)	(-6.941354e+01 -8.946785e-02 -1.291857e-01)
#0.000436833   	(-4.632771e+05 1.973149e+05 2.672099e+05)	(-4.632065e+05 1.973150e+05 2.672102e+05)	(-7.063768e+01 -1.044179e-01 -2.187979e-01)
#0.000644211   	(-2.689238e+05 1.407100e+05 1.865924e+05)	(-2.688533e+05 1.407101e+05 1.865926e+05)	(-7.048160e+01 -1.736988e-01 -2.555640e-01)
#0.000893055   	(-1.780567e+05 1.072554e+05 1.423556e+05)	(-1.779864e+05 1.072557e+05 1.423558e+05)	(-7.032883e+01 -2.351469e-01 -2.775516e-01)
#0.00119165    	(-1.237589e+05 8.600578e+04 1.155425e+05)	(-1.236888e+05 8.600608e+04 1.155428e+05)	(-7.017436e+01 -2.932151e-01 -2.897637e-01)
#0.0015499     	(-8.854201e+04 7.182612e+04 9.852779e+04)	(-8.847200e+04 7.182647e+04 9.852809e+04)	(-7.001661e+01 -3.514219e-01 -2.956523e-01)
#0.00197972    	(-6.454488e+04 6.230574e+04 8.733617e+04)	(-6.447503e+04 6.230615e+04 8.733647e+04)	(-6.985484e+01 -4.134844e-01 -2.983502e-01)
#0.00249549    	(-4.795550e+04 5.559114e+04 7.974968e+04)	(-4.788581e+04 5.559162e+04 7.974998e+04)	(-6.969025e+01 -4.818792e-01 -2.986566e-01)
#0.00311429    	(-3.645845e+04 5.072268e+04 7.433397e+04)	(-3.638893e+04 5.072324e+04 7.433427e+04)	(-6.952402e+01 -5.579339e-01 -2.939278e-01)
0.00385657    	(-2.925592e+04 4.678923e+04 7.027342e+04)	(-2.918656e+04 4.678988e+04 7.027371e+04)	(-6.935696e+01 -6.429262e-01 -2.837226e-01)
0.00474757    	(-2.486368e+04 4.367650e+04 6.718364e+04)	(-2.479449e+04 4.367723e+04 6.718391e+04)	(-6.919089e+01 -7.381869e-01 -2.668224e-01)
0.00581659    	(-2.160230e+04 4.105641e+04 6.472650e+04)	(-2.153326e+04 4.105726e+04 6.472674e+04)	(-6.903478e+01 -8.449106e-01 -2.466464e-01)
0.00709941    	(-1.937566e+04 3.890745e+04 6.261985e+04)	(-1.930676e+04 3.890842e+04 6.262008e+04)	(-6.889351e+01 -9.629570e-01 -2.241850e-01)
0.00863879    	(-1.824181e+04 3.711730e+04 6.079266e+04)	(-1.817304e+04 3.711839e+04 6.079286e+04)	(-6.876975e+01 -1.090215e+00 -2.000369e-01)
0.0104849     	(-1.707782e+04 3.562092e+04 5.935671e+04)	(-1.700915e+04 3.562215e+04 5.935688e+04)	(-6.866798e+01 -1.224029e+00 -1.705817e-01)
0.0126986     	(-1.636018e+04 3.446371e+04 5.822252e+04)	(-1.629159e+04 3.446507e+04 5.822265e+04)	(-6.859700e+01 -1.362275e+00 -1.326024e-01)
0.0153526     	(-1.576634e+04 3.347273e+04 5.730838e+04)	(-1.569777e+04 3.347423e+04 5.730846e+04)	(-6.856587e+01 -1.502955e+00 -8.498593e-02)
0.0185392     	(-1.501237e+04 3.276335e+04 5.676146e+04)	(-1.494378e+04 3.276499e+04 5.676148e+04)	(-6.858762e+01 -1.644781e+00 -2.218497e-02)
0.0223581     	(-1.441271e+04 3.226505e+04 5.636414e+04)	(-1.434403e+04 3.226684e+04 5.636407e+04)	(-6.867611e+01 -1.788390e+00 6.326861e-02)
0.026948      	(-1.368881e+04 3.190618e+04 5.611450e+04)	(-1.361997e+04 3.190812e+04 5.611432e+04)	(-6.884345e+01 -1.933633e+00 1.784221e-01)
0.0324454     	(-1.299437e+04 3.133779e+04 5.598425e+04)	(-1.292526e+04 3.133987e+04 5.598392e+04)	(-6.910959e+01 -2.080376e+00 3.298615e-01)
