#0.000120005   	(-1.119293e+07 3.022983e+06 4.528637e+06)	(-1.119288e+07 3.022983e+06 4.528637e+06)	(-4.511543e+01 -4.531452e-02 5.488015e-02)
#0.000264017   	(-8.590534e+05 2.451904e+05 3.591197e+05)	(-8.589965e+05 2.451905e+05 3.591198e+05)	(-5.681397e+01 -6.792358e-02 -1.068007e-01)
#0.000436833   	(-3.720361e+05 1.650703e+05 2.297089e+05)	(-3.719782e+05 1.650704e+05 2.297091e+05)	(-5.783066e+01 -7.715496e-02 -1.818454e-01)
#0.000644211   	(-2.147611e+05 1.194605e+05 1.642365e+05)	(-2.147033e+05 1.194607e+05 1.642367e+05)	(-5.771747e+01 -1.311405e-01 -2.136581e-01)
#0.000893055   	(-1.419074e+05 9.257825e+04 1.282791e+05)	(-1.418498e+05 9.257843e+04 1.282793e+05)	(-5.760790e+01 -1.781220e-01 -2.334883e-01)
#0.00119165    	(-9.884973e+04 7.553782e+04 1.064776e+05)	(-9.879224e+04 7.553804e+04 1.064779e+05)	(-5.749725e+01 -2.216577e-01 -2.451888e-01)
#0.0015499     	(-7.105882e+04 6.424872e+04 9.262694e+04)	(-7.100144e+04 6.424898e+04 9.262719e+04)	(-5.738394e+01 -2.642940e-01 -2.512088e-01)
#0.00197972    	(-5.208191e+04 5.649053e+04 8.347391e+04)	(-5.202464e+04 5.649084e+04 8.347417e+04)	(-5.726737e+01 -3.082665e-01 -2.536415e-01)
#0.00249549    	(-3.872977e+04 5.111333e+04 7.730802e+04)	(-3.867262e+04 5.111369e+04 7.730827e+04)	(-5.714774e+01 -3.560558e-01 -2.538009e-01)
#0.00311429    	(-2.929305e+04 4.726286e+04 7.300579e+04)	(-2.923602e+04 4.726327e+04 7.300605e+04)	(-5.702630e+01 -4.094339e-01 -2.526698e-01)
0.00385657    	(-2.264708e+04 4.437116e+04 6.988920e+04)	(-2.259018e+04 4.437163e+04 6.988944e+04)	(-5.690431e+01 -4.692451e-01 -2.476026e-01)
0.00474757    	(-1.853424e+04 4.202186e+04 6.749236e+04)	(-1.847745e+04 4.202240e+04 6.749260e+04)	(-5.678254e+01 -5.365470e-01 -2.381813e-01)
0.00581659    	(-1.597045e+04 4.013307e+04 6.564260e+04)	(-1.591378e+04 4.013368e+04 6.564282e+04)	(-5.666337e+01 -6.123576e-01 -2.233908e-01)
0.00709941    	(-1.405028e+04 3.850473e+04 6.415085e+04)	(-1.399373e+04 3.850543e+04 6.415105e+04)	(-5.655415e+01 -6.976422e-01 -2.062222e-01)
0.00863879    	(-1.274285e+04 3.715041e+04 6.285333e+04)	(-1.268639e+04 3.715121e+04 6.285351e+04)	(-5.645933e+01 -7.922444e-01 -1.873029e-01)
0.0104849     	(-1.212028e+04 3.605847e+04 6.170239e+04)	(-1.206390e+04 3.605936e+04 6.170256e+04)	(-5.638166e+01 -8.945052e-01 -1.671459e-01)
0.0126986     	(-1.144231e+04 3.509209e+04 6.080767e+04)	(-1.138598e+04 3.509309e+04 6.080781e+04)	(-5.632552e+01 -1.002331e+00 -1.429301e-01)
0.0153526     	(-1.103945e+04 3.437239e+04 6.008277e+04)	(-1.098315e+04 3.437350e+04 6.008288e+04)	(-5.629865e+01 -1.114081e+00 -1.120515e-01)
0.0185392     	(-1.073102e+04 3.375878e+04 5.947519e+04)	(-1.067471e+04 3.376000e+04 5.947527e+04)	(-5.630958e+01 -1.228354e+00 -7.377850e-02)
0.0223581     	(-1.028871e+04 3.326892e+04 5.911882e+04)	(-1.023234e+04 3.327027e+04 5.911885e+04)	(-5.637007e+01 -1.343778e+00 -2.395578e-02)
