#0.000120005   	(-1.621247e+07 4.378246e+06 6.532892e+06)	(-1.621241e+07 4.378246e+06 6.532891e+06)	(-6.514696e+01 -7.216577e-02 8.006428e-02)
#0.000264017   	(-1.266958e+06 3.499680e+05 4.950776e+05)	(-1.266876e+06 3.499681e+05 4.950778e+05)	(-8.200426e+01 -1.130794e-01 -1.510523e-01)
#0.000436833   	(-5.570717e+05 2.304044e+05 3.048796e+05)	(-5.569882e+05 2.304045e+05 3.048798e+05)	(-8.342986e+01 -1.350300e-01 -2.545767e-01)
#0.000644211   	(-3.246795e+05 1.625173e+05 2.089464e+05)	(-3.245963e+05 1.625176e+05 2.089467e+05)	(-8.322559e+01 -2.208478e-01 -2.956585e-01)
#0.000893055   	(-2.148201e+05 1.223617e+05 1.563618e+05)	(-2.147371e+05 1.223620e+05 1.563621e+05)	(-8.302480e+01 -2.982018e-01 -3.193794e-01)
#0.00119165    	(-1.488338e+05 9.666493e+04 1.245141e+05)	(-1.487510e+05 9.666531e+04 1.245144e+05)	(-8.282206e+01 -3.727381e-01 -3.318269e-01)
#0.0015499     	(-1.059343e+05 7.975566e+04 1.043133e+05)	(-1.058517e+05 7.975611e+04 1.043136e+05)	(-8.261546e+01 -4.495480e-01 -3.387109e-01)
#0.00197972    	(-7.705898e+04 6.839097e+04 9.106183e+04)	(-7.697658e+04 6.839151e+04 9.106217e+04)	(-8.240518e+01 -5.326752e-01 -3.416858e-01)
#0.00249549    	(-5.740090e+04 6.018777e+04 8.191092e+04)	(-5.731871e+04 6.018839e+04 8.191126e+04)	(-8.219231e+01 -6.243255e-01 -3.390930e-01)
#0.00311429    	(-4.460252e+04 5.404572e+04 7.524761e+04)	(-4.452054e+04 5.404644e+04 7.524794e+04)	(-8.197788e+01 -7.261130e-01 -3.298655e-01)
0.00385657    	(-3.723605e+04 4.902172e+04 7.020299e+04)	(-3.715428e+04 4.902256e+04 7.020331e+04)	(-8.176191e+01 -8.394553e-01 -3.124266e-01)
0.00474757    	(-3.182738e+04 4.498381e+04 6.632041e+04)	(-3.174583e+04 4.498478e+04 6.632070e+04)	(-8.155455e+01 -9.659752e-01 -2.900856e-01)
0.00581659    	(-2.806781e+04 4.164461e+04 6.307722e+04)	(-2.798645e+04 4.164571e+04 6.307749e+04)	(-8.136187e+01 -1.106056e+00 -2.641766e-01)
0.00709941    	(-2.604834e+04 3.899255e+04 6.028895e+04)	(-2.596715e+04 3.899381e+04 6.028919e+04)	(-8.118721e+01 -1.257528e+00 -2.369808e-01)
0.00863879    	(-2.421690e+04 3.665279e+04 5.808110e+04)	(-2.413587e+04 3.665421e+04 5.808131e+04)	(-8.103386e+01 -1.416931e+00 -2.038523e-01)
0.0104849     	(-2.295486e+04 3.488396e+04 5.633613e+04)	(-2.287395e+04 3.488555e+04 5.633629e+04)	(-8.091098e+01 -1.581781e+00 -1.608240e-01)
0.0126986     	(-2.205686e+04 3.345424e+04 5.490612e+04)	(-2.197604e+04 3.345599e+04 5.490623e+04)	(-8.082860e+01 -1.749390e+00 -1.065096e-01)
0.0153526     	(-2.087083e+04 3.232792e+04 5.406674e+04)	(-2.079003e+04 3.232984e+04 5.406678e+04)	(-8.080010e+01 -1.917618e+00 -3.444916e-02)
0.0185392     	(-1.993353e+04 3.156506e+04 5.348639e+04)	(-1.985269e+04 3.156715e+04 5.348632e+04)	(-8.084066e+01 -2.087623e+00 6.511030e-02)
0.0223581     	(-1.884915e+04 3.101485e+04 5.311234e+04)	(-1.876819e+04 3.101711e+04 5.311214e+04)	(-8.096197e+01 -2.258173e+00 1.989623e-01)
