#0.000120005   	(-8.693264e+06 2.351296e+06 3.530993e+06)	(-8.693228e+06 2.351296e+06 3.530993e+06)	(-3.509522e+01 -3.330255e-02 4.254118e-02)
#0.000264017   	(-6.607853e+05 1.950745e+05 2.921564e+05)	(-6.607411e+05 1.950745e+05 2.921565e+05)	(-4.420534e+01 -4.850991e-02 -8.387532e-02)
#0.000436833   	(-2.835864e+05 1.337823e+05 1.924056e+05)	(-2.835414e+05 1.337824e+05 1.924057e+05)	(-4.500827e+01 -5.331213e-02 -1.436570e-01)
#0.000644211   	(-1.625185e+05 9.884993e+04 1.418829e+05)	(-1.624736e+05 9.885002e+04 1.418831e+05)	(-4.493218e+01 -9.319304e-02 -1.698326e-01)
#0.000893055   	(-1.068364e+05 7.834037e+04 1.141395e+05)	(-1.067915e+05 7.834049e+04 1.141397e+05)	(-4.486004e+01 -1.272400e-01 -1.868648e-01)
#0.00119165    	(-7.436536e+04 6.540524e+04 9.729530e+04)	(-7.432058e+04 6.540540e+04 9.729550e+04)	(-4.478786e+01 -1.580252e-01 -1.975738e-01)
#0.0015499     	(-5.362352e+04 5.684546e+04 8.657420e+04)	(-5.357881e+04 5.684565e+04 8.657441e+04)	(-4.471401e+01 -1.874538e-01 -2.037771e-01)
#0.00197972    	(-3.954290e+04 5.099690e+04 7.950212e+04)	(-3.949826e+04 5.099712e+04 7.950233e+04)	(-4.463784e+01 -2.168618e-01 -2.065043e-01)
#0.00249549    	(-2.958913e+04 4.684677e+04 7.471034e+04)	(-2.954457e+04 4.684702e+04 7.471055e+04)	(-4.455931e+01 -2.476945e-01 -2.069812e-01)
#0.00311429    	(-2.239191e+04 4.394078e+04 7.137794e+04)	(-2.234743e+04 4.394106e+04 7.137814e+04)	(-4.447883e+01 -2.815987e-01 -2.060636e-01)
0.00385657    	(-1.718453e+04 4.181164e+04 6.904531e+04)	(-1.714013e+04 4.181196e+04 6.904551e+04)	(-4.439755e+01 -3.197628e-01 -2.043780e-01)
0.00474757    	(-1.343547e+04 4.019255e+04 6.732230e+04)	(-1.339115e+04 4.019291e+04 6.732250e+04)	(-4.431665e+01 -3.629038e-01 -2.001444e-01)
0.00581659    	(-1.100784e+04 3.887455e+04 6.599027e+04)	(-1.096360e+04 3.887497e+04 6.599047e+04)	(-4.423738e+01 -4.118019e-01 -1.929868e-01)
0.00709941    	(-9.596627e+03 3.780464e+04 6.494348e+04)	(-9.552466e+03 3.780511e+04 6.494367e+04)	(-4.416095e+01 -4.672345e-01 -1.814619e-01)
0.00863879    	(-8.514153e+03 3.685746e+04 6.410469e+04)	(-8.470060e+03 3.685799e+04 6.410486e+04)	(-4.409336e+01 -5.299011e-01 -1.678982e-01)
0.0104849     	(-7.766726e+03 3.609520e+04 6.336397e+04)	(-7.722687e+03 3.609580e+04 6.336412e+04)	(-4.403895e+01 -6.000217e-01 -1.526529e-01)
0.0126986     	(-7.406358e+03 3.543052e+04 6.270393e+04)	(-7.362357e+03 3.543120e+04 6.270406e+04)	(-4.400096e+01 -6.766975e-01 -1.371533e-01)
0.0153526     	(-7.092758e+03 3.487366e+04 6.216435e+04)	(-7.048776e+03 3.487442e+04 6.216447e+04)	(-4.398268e+01 -7.581802e-01 -1.192228e-01)
0.0185392     	(-6.857238e+03 3.443530e+04 6.172093e+04)	(-6.813248e+03 3.443614e+04 6.172102e+04)	(-4.399040e+01 -8.434976e-01 -9.694011e-02)
0.0223581     	(-6.779669e+03 3.406376e+04 6.133975e+04)	(-6.735637e+03 3.406469e+04 6.133982e+04)	(-4.403251e+01 -9.311700e-01 -6.932014e-02)
0.026948      	(-6.574540e+03 3.377181e+04 6.108166e+04)	(-6.530422e+03 3.377283e+04 6.108170e+04)	(-4.411815e+01 -1.020634e+00 -3.481052e-02)
0.0324454     	(-6.433377e+03 3.355819e+04 6.089279e+04)	(-6.389117e+03 3.355931e+04 6.089278e+04)	(-4.425961e+01 -1.111583e+00 1.007802e-02)
0.0390274     	(-6.261146e+03 3.340681e+04 6.074125e+04)	(-6.216677e+03 3.340802e+04 6.074118e+04)	(-4.446890e+01 -1.204414e+00 6.850842e-02)
0.0469043     	(-6.081698e+03 3.322319e+04 6.061304e+04)	(-6.036934e+03 3.322449e+04 6.061289e+04)	(-4.476338e+01 -1.300164e+00 1.459095e-01)
0.0563408     	(-5.862550e+03 3.301800e+04 6.055052e+04)	(-5.817406e+03 3.301939e+04 6.055029e+04)	(-4.514416e+01 -1.390219e+00 2.239700e-01)
0.0677102     	(-5.521099e+03 3.271794e+04 6.050107e+04)	(-5.475476e+03 3.271941e+04 6.050077e+04)	(-4.562304e+01 -1.470927e+00 2.932714e-01)
0.0814204     	(-5.180688e+03 3.243355e+04 6.044388e+04)	(-5.134488e+03 3.243507e+04 6.044355e+04)	(-4.619996e+01 -1.525928e+00 3.240642e-01)
0.0978236     	(-4.860312e+03 3.216138e+04 6.038445e+04)	(-4.813387e+03 3.216295e+04 6.038412e+04)	(-4.692536e+01 -1.563721e+00 3.316348e-01)
0.117436      	(-4.653680e+03 3.184784e+04 6.019305e+04)	(-4.605813e+03 3.184942e+04 6.019273e+04)	(-4.786678e+01 -1.587836e+00 3.207552e-01)
0.140661      	(-4.588876e+03 3.142764e+04 5.981578e+04)	(-4.539750e+03 3.142925e+04 5.981548e+04)	(-4.912620e+01 -1.605073e+00 3.052156e-01)
0.168382      	(-4.723670e+03 3.099389e+04 5.920367e+04)	(-4.672842e+03 3.099550e+04 5.920340e+04)	(-5.082786e+01 -1.608063e+00 2.665478e-01)
0.201647      	(-4.900754e+03 3.057259e+04 5.845748e+04)	(-4.847532e+03 3.057419e+04 5.845728e+04)	(-5.322186e+01 -1.591759e+00 2.019363e-01)
0.241564      	(-5.033536e+03 3.027501e+04 5.796839e+04)	(-4.976845e+03 3.027656e+04 5.796827e+04)	(-5.669084e+01 -1.548446e+00 1.252180e-01)
0.288967      	(-5.079563e+03 3.016753e+04 5.783117e+04)	(-5.017673e+03 3.016898e+04 5.783113e+04)	(-6.189000e+01 -1.453130e+00 3.706148e-02)
0.339755      	(-5.101961e+03 3.027979e+04 5.782191e+04)	(-5.032785e+03 3.028107e+04 5.782197e+04)	(-6.917625e+01 -1.281282e+00 -6.045905e-02)
0.390543      	(-5.137752e+03 3.033282e+04 5.788704e+04)	(-5.058849e+03 3.033383e+04 5.788722e+04)	(-7.890369e+01 -1.007862e+00 -1.818695e-01)
0.441331      	(-5.174116e+03 3.050646e+04 5.796999e+04)	(-5.082053e+03 3.050712e+04 5.797031e+04)	(-9.206284e+01 -6.602385e-01 -3.283310e-01)
0.492119      	(-5.271513e+03 3.100984e+04 5.825691e+04)	(-5.161496e+03 3.101010e+04 5.825742e+04)	(-1.100172e+02 -2.569978e-01 -5.038050e-01)
