#0.000120005   	(-1.873211e+07 5.061595e+06 7.539363e+06)	(-1.873203e+07 5.061595e+06 7.539363e+06)	(-7.515839e+01 -8.692831e-02 9.290345e-02)
#0.000264017   	(-1.476272e+06 4.043907e+05 5.639777e+05)	(-1.476177e+06 4.043908e+05 5.639779e+05)	(-9.458635e+01 -1.386997e-01 -1.724272e-01)
#0.000436833   	(-6.531886e+05 2.643014e+05 3.427067e+05)	(-6.530924e+05 2.643015e+05 3.427070e+05)	(-9.620772e+01 -1.689578e-01 -2.892280e-01)
#0.000644211   	(-3.815740e+05 1.848107e+05 2.312939e+05)	(-3.814780e+05 1.848109e+05 2.312942e+05)	(-9.595057e+01 -2.726032e-01 -3.341517e-01)
#0.000893055   	(-2.520026e+05 1.377308e+05 1.703245e+05)	(-2.519069e+05 1.377312e+05 1.703249e+05)	(-9.569747e+01 -3.674536e-01 -3.592281e-01)
#0.00119165    	(-1.738630e+05 1.076537e+05 1.333284e+05)	(-1.737676e+05 1.076542e+05 1.333288e+05)	(-9.544262e+01 -4.605223e-01 -3.725567e-01)
#0.0015499     	(-1.233329e+05 8.796664e+04 1.100393e+05)	(-1.232377e+05 8.796720e+04 1.100397e+05)	(-9.518394e+01 -5.585028e-01 -3.798154e-01)
#0.00197972    	(-8.973538e+04 7.459401e+04 9.458379e+04)	(-8.964046e+04 7.459467e+04 9.458417e+04)	(-9.492222e+01 -6.653030e-01 -3.817991e-01)
#0.00249549    	(-6.737542e+04 6.487480e+04 8.372879e+04)	(-6.728076e+04 6.487558e+04 8.372916e+04)	(-9.465827e+01 -7.829476e-01 -3.753190e-01)
#0.00311429    	(-5.442364e+04 5.707849e+04 7.563901e+04)	(-5.432925e+04 5.707940e+04 7.563937e+04)	(-9.439151e+01 -9.130086e-01 -3.594859e-01)
0.00385657    	(-4.572144e+04 5.101534e+04 6.959826e+04)	(-4.562731e+04 5.101639e+04 6.959859e+04)	(-9.412920e+01 -1.057420e+00 -3.360068e-01)
0.00474757    	(-3.953579e+04 4.593956e+04 6.477204e+04)	(-3.944191e+04 4.594078e+04 6.477235e+04)	(-9.388098e+01 -1.217906e+00 -3.077616e-01)
0.00581659    	(-3.589901e+04 4.190584e+04 6.063478e+04)	(-3.580536e+04 4.190723e+04 6.063506e+04)	(-9.365104e+01 -1.392230e+00 -2.778505e-01)
0.00709941    	(-3.325386e+04 3.856849e+04 5.722332e+04)	(-3.316041e+04 3.857007e+04 5.722356e+04)	(-9.344134e+01 -1.576386e+00 -2.429796e-01)
0.00863879    	(-3.105776e+04 3.590269e+04 5.469048e+04)	(-3.096450e+04 3.590446e+04 5.469068e+04)	(-9.326031e+01 -1.767628e+00 -1.972637e-01)
0.0104849     	(-2.978975e+04 3.376421e+04 5.253284e+04)	(-2.969663e+04 3.376617e+04 5.253298e+04)	(-9.312032e+01 -1.962482e+00 -1.379550e-01)
0.0126986     	(-2.805030e+04 3.213462e+04 5.112294e+04)	(-2.795727e+04 3.213678e+04 5.112300e+04)	(-9.303191e+01 -2.158044e+00 -6.072365e-02)
0.0153526     	(-2.667154e+04 3.094775e+04 5.026368e+04)	(-2.657852e+04 3.095010e+04 5.026363e+04)	(-9.301400e+01 -2.354463e+00 4.651588e-02)
0.0185392     	(-2.515372e+04 3.001940e+04 4.974039e+04)	(-2.506065e+04 3.002195e+04 4.974020e+04)	(-9.307516e+01 -2.550807e+00 1.900795e-01)
0.0223581     	(-2.365172e+04 2.923239e+04 4.938251e+04)	(-2.355848e+04 2.923514e+04 4.938213e+04)	(-9.323773e+01 -2.749288e+00 3.855484e-01)
