#0.000120005   	(-3.714827e+06 1.020508e+06 1.545073e+06)	(-3.714812e+06 1.020508e+06 1.545073e+06)	(-1.504561e+01 -1.239445e-02 1.832385e-02)
#0.000264017   	(-2.765246e+05 1.000417e+05 1.605523e+05)	(-2.765056e+05 1.000417e+05 1.605523e+05)	(-1.895994e+01 -1.654905e-02 -3.634259e-02)
#0.000436833   	(-1.161121e+05 7.463822e+04 1.185950e+05)	(-1.160928e+05 7.463824e+04 1.185951e+05)	(-1.931498e+01 -1.641259e-02 -6.328038e-02)
#0.000644211   	(-6.517347e+04 6.012574e+04 9.729936e+04)	(-6.515417e+04 6.012577e+04 9.729944e+04)	(-1.929352e+01 -3.160568e-02 -7.589796e-02)
#0.000893055   	(-4.200528e+04 5.168838e+04 8.563584e+04)	(-4.198600e+04 5.168843e+04 8.563593e+04)	(-1.927526e+01 -4.403497e-02 -8.476846e-02)
#0.00119165    	(-2.871160e+04 4.644765e+04 7.855432e+04)	(-2.869234e+04 4.644770e+04 7.855441e+04)	(-1.925854e+01 -5.468855e-02 -9.109211e-02)
#0.0015499     	(-2.045442e+04 4.302051e+04 7.404172e+04)	(-2.043518e+04 4.302057e+04 7.404181e+04)	(-1.924253e+01 -6.421859e-02 -9.557945e-02)
#0.00197972    	(-1.503881e+04 4.070693e+04 7.106261e+04)	(-1.501958e+04 4.070700e+04 7.106270e+04)	(-1.922673e+01 -7.306874e-02 -9.863756e-02)
#0.00249549    	(-1.133498e+04 3.908998e+04 6.903436e+04)	(-1.131577e+04 3.909007e+04 6.903446e+04)	(-1.921086e+01 -8.158308e-02 -1.004736e-01)
#0.00311429    	(-8.709818e+03 3.794075e+04 6.762566e+04)	(-8.690623e+03 3.794084e+04 6.762576e+04)	(-1.919479e+01 -9.007843e-02 -1.012237e-01)
0.00385657    	(-6.780205e+03 3.710256e+04 6.662770e+04)	(-6.761026e+03 3.710266e+04 6.662781e+04)	(-1.917863e+01 -9.885768e-02 -1.010257e-01)
0.00474757    	(-5.326591e+03 3.647617e+04 6.591453e+04)	(-5.307429e+03 3.647628e+04 6.591463e+04)	(-1.916264e+01 -1.082407e-01 -9.998636e-02)
0.00581659    	(-4.216318e+03 3.601175e+04 6.539499e+04)	(-4.197170e+03 3.601187e+04 6.539509e+04)	(-1.914725e+01 -1.185964e-01 -9.842433e-02)
0.00709941    	(-3.359272e+03 3.566480e+04 6.501701e+04)	(-3.340139e+03 3.566493e+04 6.501710e+04)	(-1.913310e+01 -1.304255e-01 -9.640546e-02)
0.00863879    	(-2.710658e+03 3.539997e+04 6.473705e+04)	(-2.691536e+03 3.540012e+04 6.473714e+04)	(-1.912115e+01 -1.441156e-01 -9.416157e-02)
0.0104849     	(-2.231008e+03 3.519248e+04 6.452337e+04)	(-2.211895e+03 3.519264e+04 6.452346e+04)	(-1.911254e+01 -1.599560e-01 -9.106841e-02)
0.0126986     	(-1.907541e+03 3.502035e+04 6.435369e+04)	(-1.888432e+03 3.502053e+04 6.435377e+04)	(-1.910862e+01 -1.782759e-01 -8.696247e-02)
0.0153526     	(-1.762288e+03 3.487078e+04 6.421110e+04)	(-1.743177e+03 3.487098e+04 6.421118e+04)	(-1.911052e+01 -1.993662e-01 -8.098724e-02)
0.0185392     	(-1.653680e+03 3.474317e+04 6.409333e+04)	(-1.634559e+03 3.474340e+04 6.409340e+04)	(-1.912154e+01 -2.236124e-01 -7.372252e-02)
0.0223581     	(-1.596621e+03 3.462765e+04 6.398768e+04)	(-1.577476e+03 3.462790e+04 6.398775e+04)	(-1.914504e+01 -2.512222e-01 -6.599828e-02)
0.026948      	(-1.596651e+03 3.453346e+04 6.388170e+04)	(-1.577467e+03 3.453374e+04 6.388176e+04)	(-1.918453e+01 -2.820386e-01 -5.829482e-02)
0.0324454     	(-1.636243e+03 3.445546e+04 6.378202e+04)	(-1.616999e+03 3.445578e+04 6.378207e+04)	(-1.924333e+01 -3.156013e-01 -5.087037e-02)
0.0390274     	(-1.666523e+03 3.438702e+04 6.369465e+04)	(-1.647197e+03 3.438738e+04 6.369469e+04)	(-1.932603e+01 -3.513438e-01 -4.359334e-02)
0.0469043     	(-1.728586e+03 3.432791e+04 6.361447e+04)	(-1.709147e+03 3.432829e+04 6.361451e+04)	(-1.943916e+01 -3.885609e-01 -3.643977e-02)
0.0563408     	(-1.802779e+03 3.428945e+04 6.353814e+04)	(-1.783188e+03 3.428988e+04 6.353817e+04)	(-1.959049e+01 -4.267312e-01 -3.041659e-02)
0.0677102     	(-1.865163e+03 3.426044e+04 6.346772e+04)	(-1.845372e+03 3.426091e+04 6.346774e+04)	(-1.979179e+01 -4.658881e-01 -2.518659e-02)
0.0814204     	(-1.942624e+03 3.422523e+04 6.339182e+04)	(-1.922567e+03 3.422573e+04 6.339184e+04)	(-2.005645e+01 -5.060304e-01 -2.177096e-02)
0.0978236     	(-2.014817e+03 3.419771e+04 6.330889e+04)	(-1.994418e+03 3.419826e+04 6.330891e+04)	(-2.039845e+01 -5.466329e-01 -2.064740e-02)
0.117436      	(-2.089388e+03 3.416871e+04 6.321588e+04)	(-2.068551e+03 3.416929e+04 6.321590e+04)	(-2.083748e+01 -5.867375e-01 -2.450467e-02)
0.140661      	(-2.154056e+03 3.413234e+04 6.312315e+04)	(-2.132656e+03 3.413297e+04 6.312318e+04)	(-2.140065e+01 -6.266880e-01 -3.653738e-02)
0.168382      	(-2.204073e+03 3.409059e+04 6.302515e+04)	(-2.181951e+03 3.409125e+04 6.302521e+04)	(-2.212124e+01 -6.605903e-01 -6.565882e-02)
0.201647      	(-2.249394e+03 3.405312e+04 6.293089e+04)	(-2.226320e+03 3.405381e+04 6.293100e+04)	(-2.307393e+01 -6.904992e-01 -1.102871e-01)
0.241564      	(-2.290771e+03 3.403986e+04 6.284806e+04)	(-2.266417e+03 3.404057e+04 6.284823e+04)	(-2.435417e+01 -7.109302e-01 -1.762421e-01)
0.288967      	(-2.340830e+03 3.404852e+04 6.277120e+04)	(-2.314712e+03 3.404923e+04 6.277147e+04)	(-2.611771e+01 -7.182561e-01 -2.663370e-01)
0.339755      	(-2.392822e+03 3.407072e+04 6.272111e+04)	(-2.364410e+03 3.407143e+04 6.272149e+04)	(-2.841174e+01 -7.113367e-01 -3.787176e-01)
0.390543      	(-2.442143e+03 3.409524e+04 6.269943e+04)	(-2.410973e+03 3.409593e+04 6.269993e+04)	(-3.117044e+01 -6.901939e-01 -4.996405e-01)
0.441331      	(-2.484003e+03 3.414792e+04 6.269341e+04)	(-2.449634e+03 3.414857e+04 6.269404e+04)	(-3.436957e+01 -6.532458e-01 -6.292587e-01)
0.492119      	(-2.513046e+03 3.419207e+04 6.270855e+04)	(-2.475071e+03 3.419267e+04 6.270931e+04)	(-3.797546e+01 -6.018831e-01 -7.591504e-01)
0.542907      	(-2.528674e+03 3.423677e+04 6.273153e+04)	(-2.486749e+03 3.423730e+04 6.273241e+04)	(-4.192473e+01 -5.294050e-01 -8.851040e-01)
0.593695      	(-2.539249e+03 3.427986e+04 6.276958e+04)	(-2.493102e+03 3.428029e+04 6.277058e+04)	(-4.614749e+01 -4.348541e-01 -1.000420e+00)
0.644483      	(-2.540358e+03 3.428616e+04 6.278267e+04)	(-2.489758e+03 3.428649e+04 6.278377e+04)	(-5.060005e+01 -3.272271e-01 -1.104906e+00)
